Movie,Time,Revenue,TicketsSold
Gladiator 2,13:00,0,0
Gladiator 2,13:15,0,0
Gladiator 2,13:30,0,0
Gladiator 2,13:45,0,0
Gladiator 2,14:00,0,0
Gladiator 2,14:15,0,0
Gladiator 2,14:30,0,0
Gladiator 2,14:45,0,0
Gladiator 2,15:00,0,0
Gladiator 2,15:15,0,0
Gladiator 2,15:30,0,0
Gladiator 2,15:45,0,0
Gladiator 2,16:00,0,0
Gladiator 2,16:15,0,0
Gladiator 2,16:30,0,0
Gladiator 2,16:45,0,0
Gladiator 2,17:00,0,0
Gladiator 2,17:15,0,0
Gladiator 2,17:30,0,0
Gladiator 2,17:45,0,0
Gladiator 2,18:00,0,0
Gladiator 2,18:15,0,0
Gladiator 2,18:30,0,0
Gladiator 2,18:45,0,0
Gladiator 2,19:00,0,0
Gladiator 2,19:15,0,0
Gladiator 2,19:30,0,0
Gladiator 2,19:45,0,0
Gladiator 2,20:00,5867.235,439
Gladiator 2,20:15,0,0
Gladiator 2,20:30,0,0
Gladiator 2,20:45,0,0
Gladiator 2,21:00,0,0
Gladiator 2,21:15,0,0
Gladiator 2,21:30,0,0
Gladiator 2,21:45,0,0
Gladiator 2,22:00,0,0
Gladiator 2,22:15,1510.245,113
Gladiator 2,22:30,1510.245,113
Gladiator 2,22:45,0,0
Gladiator 2,23:00,3335.904,312
Anora,13:00,0,0
Anora,13:15,0,0
Anora,13:30,0,0
Anora,13:45,0,0
Anora,14:00,565.812,312
Anora,14:15,0,0
Anora,14:30,0,0
Anora,14:45,0,0
Anora,15:00,0,0
Anora,15:15,0,0
Anora,15:30,0,0
Anora,15:45,0,0
Anora,16:00,366.501375,113
Anora,16:15,0,0
Anora,16:30,0,0
Anora,16:45,0,0
Anora,17:00,549.2115,127
Anora,17:15,0,0
Anora,17:30,0,0
Anora,17:45,0,0
Anora,18:00,0,0
Anora,18:15,0,0
Anora,18:30,0,0
Anora,18:45,0,0
Anora,19:00,0,0
Anora,19:15,0,0
Anora,19:30,469.557,44
Anora,19:45,0,0
Anora,20:00,0,0
Anora,20:15,0,0
Anora,20:30,0,0
Anora,20:45,0,0
Anora,21:00,0,0
Anora,21:15,0,0
Anora,21:30,0,0
Anora,21:45,0,0
Anora,22:00,0,0
Anora,22:15,0,0
Anora,22:30,552.42,44
Anora,22:45,0,0
Anora,23:00,0,0
Wicked,13:00,0,0
Wicked,13:15,0,0
Wicked,13:30,0,0
Wicked,13:45,0,0
Wicked,14:00,0,0
Wicked,14:15,0,0
Wicked,14:30,0,0
Wicked,14:45,0,0
Wicked,15:00,0,0
Wicked,15:15,0,0
Wicked,15:30,0,0
Wicked,15:45,0,0
Wicked,16:00,0,0
Wicked,16:15,0,0
Wicked,16:30,0,0
Wicked,16:45,0,0
Wicked,17:00,0,0
Wicked,17:15,0,0
Wicked,17:30,0,0
Wicked,17:45,0,0
Wicked,18:00,0,0
Wicked,18:15,0,0
Wicked,18:30,0,0
Wicked,18:45,0,0
Wicked,19:00,1218.8745,113
Wicked,19:15,0,0
Wicked,19:30,0,0
Wicked,19:45,1553.256,144
Wicked,20:00,0,0
Wicked,20:15,0,0
Wicked,20:30,0,0
Wicked,20:45,0,0
Wicked,21:00,0,0
Wicked,21:15,0,0
Wicked,21:30,0,0
Wicked,21:45,0,0
Wicked,22:00,0,0
Wicked,22:15,0,0
Wicked,22:30,0,0
Wicked,22:45,1827.36,144
Wicked,23:00,0,0
A Real Pain,13:00,101.8017,226
A Real Pain,13:15,50.90085,113
A Real Pain,13:30,0,0
A Real Pain,13:45,32.4324,72
A Real Pain,14:00,0,0
A Real Pain,14:15,0,0
A Real Pain,14:30,0,0
A Real Pain,14:45,0,0
A Real Pain,15:00,0,0
A Real Pain,15:15,0,0
A Real Pain,15:30,0,0
A Real Pain,15:45,0,0
A Real Pain,16:00,0,0
A Real Pain,16:15,0,0
A Real Pain,16:30,101.277,44
A Real Pain,16:45,0,0
A Real Pain,17:00,0,0
A Real Pain,17:15,0,0
A Real Pain,17:30,0,0
A Real Pain,17:45,0,0
A Real Pain,18:00,0,0
A Real Pain,18:15,0,0
A Real Pain,18:30,0,0
A Real Pain,18:45,0,0
A Real Pain,19:00,0,0
A Real Pain,19:15,0,0
A Real Pain,19:30,0,0
A Real Pain,19:45,0,0
A Real Pain,20:00,0,0
A Real Pain,20:15,0,0
A Real Pain,20:30,0,0
A Real Pain,20:45,0,0
A Real Pain,21:00,0,0
A Real Pain,21:15,0,0
A Real Pain,21:30,0,0
A Real Pain,21:45,0,0
A Real Pain,22:00,0,0
A Real Pain,22:15,0,0
A Real Pain,22:30,0,0
A Real Pain,22:45,0,0
A Real Pain,23:00,0,0
Life is Beautiful,13:00,0,0
Life is Beautiful,13:15,0,0
Life is Beautiful,13:30,0,0
Life is Beautiful,13:45,0,0
Life is Beautiful,14:00,180.7845,127
Life is Beautiful,14:15,0,0
Life is Beautiful,14:30,0,0
Life is Beautiful,14:45,0,0
Life is Beautiful,15:00,0,0
Life is Beautiful,15:15,0,0
Life is Beautiful,15:30,0,0
Life is Beautiful,15:45,0,0
Life is Beautiful,16:00,287.683875,113
Life is Beautiful,16:15,0,0
Life is Beautiful,16:30,287.683875,113
Life is Beautiful,16:45,366.606,144
Life is Beautiful,17:00,0,0
Life is Beautiful,17:15,0,0
Life is Beautiful,17:30,0,0
Life is Beautiful,17:45,0,0
Life is Beautiful,18:00,0,0
Life is Beautiful,18:15,0,0
Life is Beautiful,18:30,0,0
Life is Beautiful,18:45,0,0
Life is Beautiful,19:00,0,0
Life is Beautiful,19:15,0,0
Life is Beautiful,19:30,0,0
Life is Beautiful,19:45,0,0
Life is Beautiful,20:00,0,0
Life is Beautiful,20:15,0,0
Life is Beautiful,20:30,0,0
Life is Beautiful,20:45,0,0
Life is Beautiful,21:00,0,0
Life is Beautiful,21:15,0,0
Life is Beautiful,21:30,0,0
Life is Beautiful,21:45,0,0
Life is Beautiful,22:00,0,0
Life is Beautiful,22:15,0,0
Life is Beautiful,22:30,0,0
Life is Beautiful,22:45,0,0
Life is Beautiful,23:00,0,0
Heretic,13:00,0,0
Heretic,13:15,0,0
Heretic,13:30,0,0
Heretic,13:45,0,0
Heretic,14:00,0,0
Heretic,14:15,0,0
Heretic,14:30,0,0
Heretic,14:45,0,0
Heretic,15:00,0,0
Heretic,15:15,0,0
Heretic,15:30,0,0
Heretic,15:45,0,0
Heretic,16:00,0,0
Heretic,16:15,0,0
Heretic,16:30,0,0
Heretic,16:45,0,0
Heretic,17:00,1378.26,312
Heretic,17:15,0,0
Heretic,17:30,0,0
Heretic,17:45,0,0
Heretic,18:00,0,0
Heretic,18:15,0,0
Heretic,18:30,0,0
Heretic,18:45,0,0
Heretic,19:00,1231.84125,113
Heretic,19:15,0,0
Heretic,19:30,1231.84125,113
Heretic,19:45,0,0
Heretic,20:00,0,0
Heretic,20:15,0,0
Heretic,20:30,0,0
Heretic,20:45,0,0
Heretic,21:00,0,0
Heretic,21:15,0,0
Heretic,21:30,0,0
Heretic,21:45,0,0
Heretic,22:00,0,0
Heretic,22:15,1449.225,113
Heretic,22:30,0,0
Heretic,22:45,0,0
Heretic,23:00,1303.02,127
Basquiat,13:00,0,0
Basquiat,13:15,12.285,72
Basquiat,13:30,0,0
Basquiat,13:45,0,0
Basquiat,14:00,0,0
Basquiat,14:15,0,0
Basquiat,14:30,0,0
Basquiat,14:45,0,0
Basquiat,15:00,0,0
Basquiat,15:15,0,0
Basquiat,15:30,0,0
Basquiat,15:45,0,0
Basquiat,16:00,0,0
Basquiat,16:15,0,0
Basquiat,16:30,0,0
Basquiat,16:45,0,0
Basquiat,17:00,0,0
Basquiat,17:15,0,0
Basquiat,17:30,0,0
Basquiat,17:45,0,0
Basquiat,18:00,0,0
Basquiat,18:15,0,0
Basquiat,18:30,0,0
Basquiat,18:45,0,0
Basquiat,19:00,0,0
Basquiat,19:15,0,0
Basquiat,19:30,0,0
Basquiat,19:45,0,0
Basquiat,20:00,0,0
Basquiat,20:15,0,0
Basquiat,20:30,0,0
Basquiat,20:45,0,0
Basquiat,21:00,0,0
Basquiat,21:15,0,0
